Frame,Timestamp,Metric,Value,Feedback,Reps
0,0.0,Distances,H:520|F:54,Closed Jump,0
1,0.04,Distances,H:482|F:48,Closed Jump,0
2,0.08,Distances,H:410|F:41,Closed Jump,0
3,0.12,Distances,H:348|F:34,Closed Jump,0
4,0.16,Distances,H:192|F:192,Closed Jump,0
5,0.2,Distances,H:162|F:162,Closed Jump,0
6,0.24,Distances,H:138|F:138,Closed Jump,0
7,0.28,Distances,H:121|F:121,Closed Jump,0
8,0.32,Distances,H:113|F:113,Closed Jump,0
9,0.36,Distances,H:116|F:116,Closed Jump,0
10,0.4,Distances,H:124|F:124,Closed Jump,0
11,0.44,Distances,H:142|F:142,Closed Jump,0
12,0.48,Distances,H:170|F:170,Closed Jump,0
13,0.52,Distances,H:208|F:208,Closed Jump,1
14,0.56,Distances,H:248|F:248,Closed Jump,1
15,0.6,Distances,H:286|F:286,Closed Jump,1
16,0.64,Distances,H:321|F:321,Good Jump,1
17,0.68,Distances,H:350|F:350,Good Jump,1
18,0.72,Distances,H:374|F:374,Good Jump,1
19,0.76,Distances,H:394|F:394,Good Jump,1
20,0.8,Distances,H:408|F:408,Good Jump,1
21,0.84,Distances,H:415|F:415,Good Jump,1
22,0.88,Distances,H:421|F:421,Good Jump,1
23,0.92,Distances,H:415|F:415,Good Jump,1
24,0.96,Distances,H:398|F:398,Good Jump,1
25,1.0,Distances,H:368|F:368,Good Jump,1
26,1.04,Distances,H:335|F:335,Good Jump,1
27,1.08,Distances,H:300|F:300,Closed Jump,1
28,1.12,Distances,H:264|F:264,Closed Jump,1
29,1.16,Distances,H:230|F:230,Closed Jump,1
30,1.2,Distances,H:206|F:206,Closed Jump,1
31,1.24,Distances,H:192|F:192,Closed Jump,1
32,1.28,Distances,H:191|F:191,Closed Jump,1
33,1.32,Distances,H:199|F:199,Closed Jump,1
34,1.36,Distances,H:212|F:212,Closed Jump,2
35,1.4,Distances,H:228|F:228,Closed Jump,2
36,1.44,Distances,H:255|F:255,Good Jump,2
37,1.48,Distances,H:291|F:291,Good Jump,2
38,1.52,Distances,H:331|F:331,Good Jump,2
39,1.56,Distances,H:364|F:364,Good Jump,2
40,1.6,Distances,H:387|F:387,Good Jump,2
41,1.64,Distances,H:400|F:400,Good Jump,2
42,1.68,Distances,H:406|F:406,Good Jump,2
43,1.72,Distances,H:401|F:401,Good Jump,2
44,1.76,Distances,H:391|F:391,Good Jump,2
45,1.8,Distances,H:372|F:372,Closed Jump,2
46,1.84,Distances,H:350|F:350,Closed Jump,2
47,1.88,Distances,H:327|F:327,Closed Jump,2
48,1.92,Distances,H:296|F:296,Closed Jump,2
49,1.96,Distances,H:260|F:260,Closed Jump,2
50,2.0,Distances,H:219|F:219,Closed Jump,2
51,2.04,Distances,H:184|F:184,Closed Jump,2
52,2.08,Distances,H:156|F:156,Closed Jump,2
53,2.12,Distances,H:135|F:135,Closed Jump,2
54,2.16,Distances,H:123|F:123,Closed Jump,2
55,2.2,Distances,H:122|F:122,Closed Jump,2
56,2.24,Distances,H:132|F:132,Closed Jump,2
57,2.28,Distances,H:152|F:152,Closed Jump,2
58,2.32,Distances,H:181|F:181,Closed Jump,2
59,2.36,Distances,H:219|F:219,Closed Jump,3
60,2.4,Distances,H:260|F:260,Closed Jump,3
61,2.44,Distances,H:299|F:299,Closed Jump,3
62,2.48,Distances,H:338|F:338,Good Jump,3
63,2.52,Distances,H:371|F:371,Good Jump,3
64,2.56,Distances,H:394|F:394,Good Jump,3
65,2.6,Distances,H:408|F:408,Good Jump,3
66,2.64,Distances,H:417|F:417,Good Jump,3
67,2.68,Distances,H:422|F:422,Good Jump,3
68,2.72,Distances,H:421|F:421,Good Jump,3
69,2.76,Distances,H:409|F:409,Good Jump,3
70,2.8,Distances,H:387|F:387,Good Jump,3
