Frame,Timestamp,Metric,Value,Feedback,Reps
0,0.0,Knee Angle,178.55247471536794,Too High Squat,0
1,0.03,Knee Angle,178.51956422125863,Too High Squat,0
2,0.07,Knee Angle,179.80162650417174,Too High Squat,0
3,0.1,Knee Angle,176.50385324837342,Too High Squat,0
4,0.13,Knee Angle,176.9714078327884,Too High Squat,0
5,0.17,Knee Angle,174.34108974024946,Too High Squat,0
6,0.2,Knee Angle,172.47174283795948,Too High Squat,0
7,0.23,Knee Angle,169.23148846405255,Too High Squat,0
8,0.27,Knee Angle,165.8999752608992,Too High Squat,0
9,0.3,Knee Angle,161.41769195352165,Good Squat,0
10,0.33,Knee Angle,155.60987331058607,Correct Squat,0
11,0.37,Knee Angle,149.6948374730233,Correct Squat,0
12,0.4,Knee Angle,143.82340725006242,Correct Squat,0
13,0.43,Knee Angle,139.74571264418464,Correct Squat,0
14,0.47,Knee Angle,135.56573006167545,Correct Squat,0
15,0.5,Knee Angle,130.70096267345622,Correct Squat,0
16,0.53,Knee Angle,126.42353069714777,Correct Squat,0
17,0.57,Knee Angle,120.74412411739017,Correct Squat,0
18,0.6,Knee Angle,115.42088608154832,Correct Squat,0
19,0.63,Knee Angle,109.88766057011276,Correct Squat,0
20,0.67,Knee Angle,105.24345048032053,Correct Squat,0
21,0.7,Knee Angle,102.41666552906365,Correct Squat,0
22,0.73,Knee Angle,99.72394559435084,Correct Squat,1
23,0.77,Knee Angle,98.60834664276037,Correct Squat,1
24,0.8,Knee Angle,96.9792752761406,Correct Squat,1
25,0.83,Knee Angle,96.55418312709601,Correct Squat,1
26,0.87,Knee Angle,95.78808052746665,Correct Squat,1
27,0.9,Knee Angle,95.45636533600475,Correct Squat,1
28,0.93,Knee Angle,94.58922633232294,Correct Squat,1
29,0.97,Knee Angle,94.22490384192037,Correct Squat,1
30,1.0,Knee Angle,94.19888082603552,Correct Squat,1
31,1.03,Knee Angle,94.7248773345022,Correct Squat,1
32,1.07,Knee Angle,95.47282931800324,Correct Squat,1
33,1.1,Knee Angle,96.8064828836275,Correct Squat,1
34,1.13,Knee Angle,98.89276169260297,Correct Squat,1
35,1.17,Knee Angle,102.46262774195061,Correct Squat,1
36,1.2,Knee Angle,106.04876351970154,Correct Squat,1
37,1.23,Knee Angle,111.21037674297463,Correct Squat,1
38,1.27,Knee Angle,115.91274458589326,Correct Squat,1
39,1.3,Knee Angle,121.92878400709867,Correct Squat,1
40,1.33,Knee Angle,127.83741289160291,Correct Squat,1
41,1.37,Knee Angle,132.91959363193962,Correct Squat,1
42,1.4,Knee Angle,138.68504418019015,Correct Squat,1
43,1.43,Knee Angle,144.1725635397354,Good Squat,1
44,1.47,Knee Angle,149.84127664971896,Good Squat,1
45,1.5,Knee Angle,153.4566801962841,Good Squat,1
46,1.53,Knee Angle,156.09506527056757,Good Squat,1
47,1.57,Knee Angle,159.41269513211412,Too High Squat,1
48,1.6,Knee Angle,163.15486137468534,Too High Squat,1
49,1.63,Knee Angle,166.1073860513058,Too High Squat,1
50,1.67,Knee Angle,168.35923258049476,Too High Squat,1
51,1.7,Knee Angle,169.72794833993845,Too High Squat,1
52,1.73,Knee Angle,170.83492430955314,Too High Squat,1
53,1.77,Knee Angle,171.24658351631754,Too High Squat,1
54,1.8,Knee Angle,171.35938941871947,Too High Squat,1
55,1.83,Knee Angle,171.84878833041617,Too High Squat,1
56,1.87,Knee Angle,172.80812819196024,Too High Squat,1
57,1.9,Knee Angle,173.89513874345937,Too High Squat,1
58,1.93,Knee Angle,174.91605827940086,Too High Squat,1
59,1.97,Knee Angle,175.66911494858778,Too High Squat,1
60,2.0,Knee Angle,176.520357856311,Too High Squat,1
61,2.03,Knee Angle,176.9312571226632,Too High Squat,1
62,2.07,Knee Angle,177.36639958255833,Too High Squat,1
63,2.1,Knee Angle,177.47727816442443,Too High Squat,1
64,2.13,Knee Angle,177.53318746643512,Too High Squat,1
65,2.17,Knee Angle,177.35494790881282,Too High Squat,1
66,2.2,Knee Angle,177.12304892902395,Too High Squat,1
67,2.23,Knee Angle,176.9371350018719,Too High Squat,1
68,2.27,Knee Angle,176.82691117671698,Too High Squat,1
69,2.3,Knee Angle,176.78000424168718,Too High Squat,1
70,2.33,Knee Angle,176.82182829346675,Too High Squat,1
71,2.37,Knee Angle,176.90157007676308,Too High Squat,1
72,2.4,Knee Angle,176.9362624916727,Too High Squat,1
73,2.43,Knee Angle,176.67120846993677,Too High Squat,1
74,2.47,Knee Angle,176.07662474399703,Too High Squat,1
75,2.5,Knee Angle,175.2319185117561,Too High Squat,1
76,2.53,Knee Angle,174.26121756244427,Too High Squat,1
77,2.57,Knee Angle,172.8054428051041,Too High Squat,1
78,2.6,Knee Angle,170.2258129484019,Too High Squat,1
