Frame,Timestamp,Metric,Value,Feedback,Reps
0,0.0,Elbow Angle,103.98303526081867,Correct Form,0
1,0.03,Elbow Angle,108.49708940240097,Correct Form,0
2,0.07,Elbow Angle,110.25240657962212,Correct Form,0
3,0.1,Elbow Angle,112.6507507493599,Correct Form,0
4,0.13,Elbow Angle,112.52373498812703,Correct Form,0
5,0.17,Elbow Angle,114.45258363952014,Correct Form,0
6,0.2,Elbow Angle,115.81286225691059,Correct Form,0
7,0.23,Elbow Angle,116.50421120522383,Correct Form,0
8,0.27,Elbow Angle,116.64091279795691,Correct Form,0
9,0.3,Elbow Angle,115.68396729394063,Correct Form,0
10,0.33,Elbow Angle,112.03222217088943,Correct Form,0
11,0.37,Elbow Angle,105.06288913088889,Correct Form,0
12,0.4,Elbow Angle,99.00116041546171,Correct Form,0
13,0.43,Elbow Angle,91.26095385493068,Correct Form,0
14,0.47,Elbow Angle,91.37174393633727,Correct Form,0
15,0.5,Elbow Angle,86.50840543499272,Correct Form,0
16,0.53,Elbow Angle,85.02080286127091,Correct Form,0
17,0.57,Elbow Angle,79.08758139549768,Correct Form,0
18,0.6,Elbow Angle,75.54349856448164,Correct Form,0
19,0.63,Elbow Angle,70.99796848917731,Correct Form,0
20,0.67,Elbow Angle,64.21620736277156,Correct Form,0
21,0.7,Elbow Angle,58.409112314653136,Correct Form,1
22,0.73,Elbow Angle,54.408713104146834,Correct Form,1
23,0.77,Elbow Angle,50.89393616058832,Correct Form,1
24,0.8,Elbow Angle,48.42123360131745,Correct Form,1
25,0.83,Elbow Angle,45.19335600106595,Correct Form,1
26,0.87,Elbow Angle,43.33847321398662,Correct Form,1
27,0.9,Elbow Angle,41.82192090936499,Correct Form,1
28,0.93,Elbow Angle,40.76935910952698,Correct Form,1
29,0.97,Elbow Angle,39.7466899777871,Correct Form,1
30,1.0,Elbow Angle,38.880557338064285,Correct Form,1
31,1.03,Elbow Angle,38.75787679831822,Correct Form,1
32,1.07,Elbow Angle,39.12833587970045,Correct Form,1
33,1.1,Elbow Angle,39.738051816182406,Correct Form,1
34,1.13,Elbow Angle,40.27468538850855,Correct Form,1
35,1.17,Elbow Angle,41.81482285548051,Correct Form,1
36,1.2,Elbow Angle,44.58755378588962,Correct Form,1
37,1.23,Elbow Angle,47.710447429196336,Correct Form,1
38,1.27,Elbow Angle,50.70161675610691,Correct Form,1
39,1.3,Elbow Angle,53.86937250553073,Correct Form,1
40,1.33,Elbow Angle,59.41534050514647,Correct Form,1
41,1.37,Elbow Angle,67.17920205481089,Correct Form,1
42,1.4,Elbow Angle,73.33560501465703,Correct Form,1
43,1.43,Elbow Angle,80.63295448955357,Correct Form,1
44,1.47,Elbow Angle,88.29303544046331,Correct Form,1
45,1.5,Elbow Angle,102.67974688242187,Correct Form,1
46,1.53,Elbow Angle,122.1171728956358,Correct Form,1
47,1.57,Elbow Angle,137.64173617135071,Correct Form,1
48,1.6,Elbow Angle,148.5911914992813,Correct Form,1
49,1.63,Elbow Angle,153.1285743911099,Correct Form,1
50,1.67,Elbow Angle,159.88061555538278,Correct Form,1
51,1.7,Elbow Angle,165.87132986599428,Correct Form,1
52,1.73,Elbow Angle,169.26709177049776,Correct Form,1
53,1.77,Elbow Angle,171.4037555024743,Correct Form,1
54,1.8,Elbow Angle,172.29989572056618,Correct Form,1
55,1.83,Elbow Angle,173.2724870800167,Correct Form,1
56,1.87,Elbow Angle,173.51918952164556,Correct Form,1
57,1.9,Elbow Angle,173.6231750432,Correct Form,1
