Frame,Timestamp,Metric,Value,Feedback,Reps
0,0.0,Distances,H:300|F:93,Closed Jump,0
1,0.03,Distances,H:300|F:93,Closed Jump,0
2,0.07,Distances,H:314|F:93,Closed Jump,0
3,0.1,Distances,H:305|F:92,Closed Jump,0
4,0.13,Distances,H:198|F:198,Closed Jump,0
5,0.17,Distances,H:190|F:190,Closed Jump,0
6,0.2,Distances,H:182|F:182,Closed Jump,0
7,0.23,Distances,H:167|F:167,Closed Jump,0
8,0.27,Distances,H:153|F:153,Closed Jump,0
9,0.3,Distances,H:135|F:135,Closed Jump,0
10,0.33,Distances,H:120|F:120,Closed Jump,0
11,0.37,Distances,H:105|F:105,Closed Jump,0
12,0.4,Distances,H:92|F:92,Closed Jump,0
13,0.43,Distances,H:83|F:83,Closed Jump,0
14,0.47,Distances,H:78|F:78,Closed Jump,0
15,0.5,Distances,H:76|F:76,Closed Jump,0
16,0.53,Distances,H:74|F:74,Closed Jump,0
17,0.57,Distances,H:73|F:73,Closed Jump,0
18,0.6,Distances,H:72|F:72,Closed Jump,0
19,0.63,Distances,H:71|F:71,Closed Jump,0
20,0.67,Distances,H:69|F:69,Closed Jump,0
21,0.7,Distances,H:69|F:69,Closed Jump,0
22,0.73,Distances,H:68|F:68,Closed Jump,0
23,0.77,Distances,H:69|F:69,Closed Jump,0
24,0.8,Distances,H:69|F:69,Closed Jump,0
25,0.83,Distances,H:69|F:69,Closed Jump,0
26,0.87,Distances,H:68|F:68,Closed Jump,0
27,0.9,Distances,H:67|F:67,Closed Jump,0
28,0.93,Distances,H:65|F:65,Closed Jump,0
29,0.97,Distances,H:64|F:64,Closed Jump,0
30,1.0,Distances,H:64|F:64,Closed Jump,0
31,1.03,Distances,H:64|F:64,Closed Jump,0
32,1.07,Distances,H:65|F:65,Closed Jump,0
33,1.1,Distances,H:65|F:65,Closed Jump,0
34,1.13,Distances,H:66|F:66,Closed Jump,0
35,1.17,Distances,H:67|F:67,Closed Jump,0
36,1.2,Distances,H:68|F:68,Closed Jump,0
37,1.23,Distances,H:70|F:70,Closed Jump,0
38,1.27,Distances,H:72|F:72,Closed Jump,0
39,1.3,Distances,H:74|F:74,Closed Jump,0
40,1.33,Distances,H:76|F:76,Closed Jump,0
41,1.37,Distances,H:78|F:78,Closed Jump,0
42,1.4,Distances,H:82|F:82,Closed Jump,0
43,1.43,Distances,H:87|F:87,Closed Jump,0
44,1.47,Distances,H:94|F:94,Closed Jump,0
45,1.5,Distances,H:102|F:102,Closed Jump,0
46,1.53,Distances,H:110|F:110,Closed Jump,0
47,1.57,Distances,H:116|F:116,Closed Jump,0
48,1.6,Distances,H:124|F:124,Closed Jump,0
49,1.63,Distances,H:135|F:135,Closed Jump,0
50,1.67,Distances,H:148|F:148,Closed Jump,0
51,1.7,Distances,H:156|F:156,Closed Jump,0
52,1.73,Distances,H:166|F:166,Closed Jump,0
53,1.77,Distances,H:174|F:174,Closed Jump,0
54,1.8,Distances,H:182|F:182,Closed Jump,0
55,1.83,Distances,H:185|F:185,Closed Jump,0
56,1.87,Distances,H:184|F:184,Closed Jump,0
57,1.9,Distances,H:180|F:180,Closed Jump,0
58,1.93,Distances,H:175|F:175,Closed Jump,0
59,1.97,Distances,H:169|F:169,Closed Jump,0
60,2.0,Distances,H:158|F:158,Closed Jump,0
61,2.03,Distances,H:149|F:149,Closed Jump,0
62,2.07,Distances,H:142|F:142,Closed Jump,0
63,2.1,Distances,H:144|F:144,Closed Jump,0
64,2.13,Distances,H:148|F:148,Closed Jump,0
65,2.17,Distances,H:153|F:153,Closed Jump,0
66,2.2,Distances,H:156|F:156,Closed Jump,0
67,2.23,Distances,H:160|F:160,Closed Jump,0
68,2.27,Distances,H:164|F:164,Closed Jump,0
69,2.3,Distances,H:171|F:171,Closed Jump,0
70,2.33,Distances,H:180|F:180,Closed Jump,0
71,2.37,Distances,H:190|F:190,Closed Jump,0
72,2.4,Distances,H:201|F:201,Closed Jump,1
73,2.43,Distances,H:208|F:208,Closed Jump,1
74,2.47,Distances,H:211|F:211,Closed Jump,1
75,2.5,Distances,H:206|F:206,Closed Jump,1
76,2.53,Distances,H:199|F:199,Closed Jump,1
77,2.57,Distances,H:185|F:185,Closed Jump,1
78,2.6,Distances,H:166|F:166,Closed Jump,1
79,2.63,Distances,H:143|F:143,Closed Jump,1
80,2.67,Distances,H:122|F:122,Closed Jump,1
81,2.7,Distances,H:107|F:107,Closed Jump,1
82,2.73,Distances,H:94|F:94,Closed Jump,1
83,2.77,Distances,H:84|F:84,Closed Jump,1
84,2.8,Distances,H:78|F:78,Closed Jump,1
85,2.83,Distances,H:75|F:75,Closed Jump,1
86,2.87,Distances,H:75|F:75,Closed Jump,1
87,2.9,Distances,H:75|F:75,Closed Jump,1
88,2.93,Distances,H:75|F:75,Closed Jump,1
89,2.97,Distances,H:75|F:75,Closed Jump,1
90,3.0,Distances,H:74|F:74,Closed Jump,1
91,3.03,Distances,H:74|F:74,Closed Jump,1
92,3.07,Distances,H:73|F:73,Closed Jump,1
93,3.1,Distances,H:74|F:74,Closed Jump,1
94,3.13,Distances,H:73|F:73,Closed Jump,1
95,3.17,Distances,H:72|F:72,Closed Jump,1
96,3.2,Distances,H:70|F:70,Closed Jump,1
97,3.23,Distances,H:70|F:70,Closed Jump,1
98,3.27,Distances,H:70|F:70,Closed Jump,1
99,3.3,Distances,H:69|F:69,Closed Jump,1
100,3.33,Distances,H:68|F:68,Closed Jump,1
101,3.37,Distances,H:67|F:67,Closed Jump,1
102,3.4,Distances,H:67|F:67,Closed Jump,1
103,3.43,Distances,H:66|F:66,Closed Jump,1
104,3.47,Distances,H:66|F:66,Closed Jump,1
105,3.5,Distances,H:66|F:66,Closed Jump,1
106,3.53,Distances,H:66|F:66,Closed Jump,1
107,3.57,Distances,H:68|F:68,Closed Jump,1
108,3.6,Distances,H:69|F:69,Closed Jump,1
109,3.63,Distances,H:71|F:71,Closed Jump,1
110,3.67,Distances,H:72|F:72,Closed Jump,1
111,3.7,Distances,H:74|F:74,Closed Jump,1
112,3.73,Distances,H:77|F:77,Closed Jump,1
113,3.77,Distances,H:80|F:80,Closed Jump,1
114,3.8,Distances,H:85|F:85,Closed Jump,1
115,3.83,Distances,H:92|F:92,Closed Jump,1
116,3.87,Distances,H:99|F:99,Closed Jump,1
117,3.9,Distances,H:112|F:112,Closed Jump,1
118,3.93,Distances,H:125|F:125,Closed Jump,1
119,3.97,Distances,H:140|F:140,Closed Jump,1
120,4.0,Distances,H:152|F:152,Closed Jump,1
121,4.03,Distances,H:160|F:160,Closed Jump,1
122,4.07,Distances,H:169|F:169,Closed Jump,1
123,4.1,Distances,H:174|F:174,Closed Jump,1
124,4.13,Distances,H:177|F:177,Closed Jump,1
125,4.17,Distances,H:174|F:174,Closed Jump,1
126,4.2,Distances,H:171|F:171,Closed Jump,1
127,4.23,Distances,H:167|F:167,Closed Jump,1
128,4.27,Distances,H:163|F:163,Closed Jump,1
129,4.3,Distances,H:160|F:160,Closed Jump,1
130,4.33,Distances,H:159|F:159,Closed Jump,1
131,4.37,Distances,H:159|F:159,Closed Jump,1
132,4.4,Distances,H:159|F:159,Closed Jump,1
133,4.43,Distances,H:159|F:159,Closed Jump,1
134,4.47,Distances,H:159|F:159,Closed Jump,1
135,4.5,Distances,H:160|F:160,Closed Jump,1
136,4.53,Distances,H:161|F:161,Closed Jump,1
137,4.57,Distances,H:162|F:162,Closed Jump,1
138,4.6,Distances,H:163|F:163,Closed Jump,1
139,4.63,Distances,H:165|F:165,Closed Jump,1
140,4.67,Distances,H:170|F:170,Closed Jump,1
141,4.7,Distances,H:177|F:177,Closed Jump,1
142,4.73,Distances,H:184|F:184,Closed Jump,1
143,4.77,Distances,H:189|F:189,Closed Jump,1
144,4.8,Distances,H:192|F:192,Closed Jump,1
145,4.83,Distances,H:192|F:192,Closed Jump,1
146,4.87,Distances,H:191|F:191,Closed Jump,1
