Frame,Timestamp,Metric,Value,Feedback,Reps
0,0.0,Distances,H:750|F:222,Good Jump,0
1,0.04,Distances,H:764|F:258,Good Jump,0
2,0.08,Distances,H:832|F:303,Good Jump,0
3,0.12,Distances,H:879|F:412,Good Jump,0
4,0.17,Distances,H:632|F:632,Good Jump,0
5,0.21,Distances,H:679|F:679,Good Jump,0
6,0.25,Distances,H:703|F:703,Good Jump,0
7,0.29,Distances,H:710|F:710,Good Jump,0
8,0.33,Distances,H:699|F:699,Good Jump,0
9,0.38,Distances,H:675|F:675,Good Jump,0
10,0.42,Distances,H:643|F:643,Good Jump,0
11,0.46,Distances,H:607|F:607,Good Jump,0
12,0.5,Distances,H:564|F:564,Good Jump,0
13,0.54,Distances,H:517|F:517,Good Jump,0
14,0.58,Distances,H:472|F:472,Good Jump,0
15,0.62,Distances,H:436|F:436,Good Jump,0
16,0.67,Distances,H:406|F:406,Closed Jump,0
17,0.71,Distances,H:389|F:389,Closed Jump,0
18,0.75,Distances,H:384|F:384,Closed Jump,0
19,0.79,Distances,H:393|F:393,Good Jump,0
20,0.83,Distances,H:408|F:408,Good Jump,0
21,0.88,Distances,H:425|F:425,Good Jump,0
22,0.92,Distances,H:457|F:457,Good Jump,0
23,0.96,Distances,H:499|F:499,Good Jump,0
24,1.0,Distances,H:548|F:548,Good Jump,0
25,1.04,Distances,H:587|F:587,Good Jump,0
26,1.08,Distances,H:620|F:620,Good Jump,0
27,1.12,Distances,H:636|F:636,Good Jump,0
28,1.17,Distances,H:633|F:633,Good Jump,0
29,1.21,Distances,H:619|F:619,Good Jump,0
30,1.25,Distances,H:598|F:598,Good Jump,0
31,1.29,Distances,H:572|F:572,Good Jump,0
32,1.33,Distances,H:532|F:532,Good Jump,0
33,1.38,Distances,H:488|F:488,Closed Jump,0
34,1.42,Distances,H:439|F:439,Closed Jump,0
35,1.46,Distances,H:385|F:385,Closed Jump,0
36,1.5,Distances,H:332|F:332,Closed Jump,0
37,1.54,Distances,H:285|F:285,Closed Jump,0
38,1.58,Distances,H:244|F:244,Closed Jump,0
39,1.62,Distances,H:209|F:209,Closed Jump,0
40,1.67,Distances,H:174|F:174,Closed Jump,0
41,1.71,Distances,H:155|F:155,Closed Jump,0
42,1.75,Distances,H:152|F:152,Closed Jump,0
43,1.79,Distances,H:168|F:168,Closed Jump,0
44,1.83,Distances,H:190|F:190,Closed Jump,0
45,1.88,Distances,H:218|F:218,Closed Jump,1
46,1.92,Distances,H:256|F:256,Closed Jump,1
47,1.96,Distances,H:302|F:302,Closed Jump,1
48,2.0,Distances,H:353|F:353,Good Jump,1
49,2.04,Distances,H:405|F:405,Good Jump,1
50,2.08,Distances,H:453|F:453,Good Jump,1
51,2.12,Distances,H:511|F:511,Good Jump,1
52,2.17,Distances,H:561|F:561,Good Jump,1
53,2.21,Distances,H:606|F:606,Good Jump,1
54,2.25,Distances,H:635|F:635,Good Jump,1
55,2.29,Distances,H:660|F:660,Good Jump,1
56,2.33,Distances,H:681|F:681,Good Jump,1
57,2.38,Distances,H:689|F:689,Good Jump,1
58,2.42,Distances,H:683|F:683,Good Jump,1
59,2.46,Distances,H:665|F:665,Good Jump,1
60,2.5,Distances,H:633|F:633,Good Jump,1
61,2.54,Distances,H:593|F:593,Good Jump,1
62,2.58,Distances,H:549|F:549,Good Jump,1
63,2.62,Distances,H:502|F:502,Good Jump,1
64,2.67,Distances,H:464|F:464,Good Jump,1
65,2.71,Distances,H:431|F:431,Closed Jump,1
66,2.75,Distances,H:405|F:405,Closed Jump,1
67,2.79,Distances,H:386|F:386,Closed Jump,1
68,2.83,Distances,H:379|F:379,Closed Jump,1
69,2.88,Distances,H:390|F:390,Closed Jump,1
70,2.92,Distances,H:406|F:406,Good Jump,1
71,2.96,Distances,H:425|F:425,Good Jump,1
72,3.0,Distances,H:454|F:454,Good Jump,1
73,3.04,Distances,H:496|F:496,Good Jump,1
74,3.08,Distances,H:551|F:551,Good Jump,1
75,3.12,Distances,H:595|F:595,Good Jump,1
76,3.17,Distances,H:623|F:623,Good Jump,1
77,3.21,Distances,H:627|F:627,Good Jump,1
78,3.25,Distances,H:620|F:620,Good Jump,1
79,3.29,Distances,H:604|F:604,Good Jump,1
80,3.33,Distances,H:585|F:585,Good Jump,1
81,3.38,Distances,H:556|F:556,Good Jump,1
82,3.42,Distances,H:519|F:519,Closed Jump,1
83,3.46,Distances,H:474|F:474,Closed Jump,1
84,3.5,Distances,H:422|F:422,Closed Jump,1
85,3.54,Distances,H:367|F:367,Closed Jump,1
86,3.58,Distances,H:312|F:312,Closed Jump,1
87,3.62,Distances,H:264|F:264,Closed Jump,1
88,3.67,Distances,H:227|F:227,Closed Jump,1
89,3.71,Distances,H:194|F:194,Closed Jump,1
90,3.75,Distances,H:175|F:175,Closed Jump,1
91,3.79,Distances,H:160|F:160,Closed Jump,1
92,3.83,Distances,H:161|F:161,Closed Jump,1
93,3.88,Distances,H:166|F:166,Closed Jump,1
94,3.92,Distances,H:185|F:185,Closed Jump,1
95,3.96,Distances,H:205|F:205,Closed Jump,2
96,4.0,Distances,H:235|F:235,Closed Jump,2
97,4.04,Distances,H:278|F:278,Closed Jump,2
98,4.08,Distances,H:344|F:344,Good Jump,2
99,4.12,Distances,H:414|F:414,Good Jump,2
100,4.17,Distances,H:478|F:478,Good Jump,2
101,4.21,Distances,H:526|F:526,Good Jump,2
102,4.25,Distances,H:565|F:565,Good Jump,2
103,4.29,Distances,H:596|F:596,Good Jump,2
104,4.33,Distances,H:594|F:594,Good Jump,2
105,4.38,Distances,H:602|F:602,Good Jump,2
106,4.42,Distances,H:613|F:613,Good Jump,2
107,4.46,Distances,H:643|F:643,Good Jump,2
108,4.5,Distances,H:647|F:647,Good Jump,2
109,4.54,Distances,H:634|F:634,Good Jump,2
110,4.58,Distances,H:613|F:613,Good Jump,2
111,4.62,Distances,H:584|F:584,Good Jump,2
112,4.67,Distances,H:550|F:550,Good Jump,2
113,4.71,Distances,H:511|F:511,Good Jump,2
114,4.75,Distances,H:476|F:476,Good Jump,2
115,4.79,Distances,H:446|F:446,Good Jump,2
116,4.83,Distances,H:423|F:423,Closed Jump,2
117,4.88,Distances,H:405|F:405,Closed Jump,2
118,4.92,Distances,H:392|F:392,Closed Jump,2
119,4.96,Distances,H:386|F:386,Closed Jump,2
120,5.0,Distances,H:390|F:390,Closed Jump,2
121,5.04,Distances,H:400|F:400,Closed Jump,2
122,5.08,Distances,H:431|F:431,Good Jump,2
123,5.12,Distances,H:473|F:473,Good Jump,2
124,5.17,Distances,H:524|F:524,Good Jump,2
125,5.21,Distances,H:561|F:561,Good Jump,2
126,5.25,Distances,H:585|F:585,Good Jump,2
127,5.29,Distances,H:595|F:595,Good Jump,2
128,5.33,Distances,H:593|F:593,Good Jump,2
129,5.38,Distances,H:584|F:584,Good Jump,2
130,5.42,Distances,H:572|F:572,Good Jump,2
131,5.46,Distances,H:553|F:553,Good Jump,2
132,5.5,Distances,H:530|F:530,Good Jump,2
133,5.54,Distances,H:498|F:498,Good Jump,2
134,5.58,Distances,H:461|F:461,Closed Jump,2
135,5.62,Distances,H:421|F:421,Closed Jump,2
136,5.67,Distances,H:375|F:375,Closed Jump,2
137,5.71,Distances,H:329|F:329,Closed Jump,2
138,5.75,Distances,H:278|F:278,Closed Jump,2
139,5.79,Distances,H:229|F:229,Closed Jump,2
140,5.83,Distances,H:185|F:185,Closed Jump,2
141,5.88,Distances,H:136|F:136,Closed Jump,2
